region,crop,year,target_yield_centner_per_ha,sown_area,gross_harvest,dry_days_04,dry_days_05,dry_days_06,dry_days_07,dry_days_08,dry_days_09,hot_days_04,hot_days_05,hot_days_06,hot_days_07,hot_days_08,hot_days_09,humidity_mean_04,humidity_mean_05,humidity_mean_06,humidity_mean_07,humidity_mean_08,humidity_mean_09,precip_sum_04,precip_sum_05,precip_sum_06,precip_sum_07,precip_sum_08,precip_sum_09,rain_days_04,rain_days_05,rain_days_06,rain_days_07,rain_days_08,rain_days_09,rain_sum_04,rain_sum_05,rain_sum_06,rain_sum_07,rain_sum_08,rain_sum_09,temp_max_04,temp_max_05,temp_max_06,temp_max_07,temp_max_08,temp_max_09,temp_mean_04,temp_mean_05,temp_mean_06,temp_mean_07,temp_mean_08,temp_mean_09,temp_min_04,temp_min_05,temp_min_06,temp_min_07,temp_min_08,temp_min_09,season_temp_mean,season_temp_max,season_temp_min,season_precip_sum,season_rain_sum,season_humidity_mean,season_hot_days,season_dry_days,season_rain_days,mineral_fertilizers_centner,mineral_fertilizers_tons,mineral_fertilizers_cumulative_centner,fertilizer_municipality_count,fertilizer_records_count,valid_fertilizer_values_count,beet_harvesters_count,corn_harvesters_count,flax_harvesters_count,forage_harvesters_count,grain_harvesters_count,potato_harvesters_count,tractors_count,tech_municipality_count,tech_records_count,agricultural_machinery_total_count
Западно-Сибирский экономический район,морковь столовая,2000,216.5,,,23.0,18.0,22.0,22.0,18.0,20.0,0.0,0.0,4.0,3.0,2.0,0.0,69.07,67.81,67.83,66.74,72.35,68.9,36.6,82.5,58.3,55.7,72.0,41.6,7.0,13.0,8.0,9.0,13.0,10.0,27.6,69.3,58.3,55.7,72.0,40.3,20.3,24.5,28.1,31.4,30.5,25.4,2.98,10.95,17.85,18.29,17.74,10.69,-11.2,-7.3,8.9,10.5,8.0,-1.6,13.12,31.4,-11.2,346.7,323.2,68.79,9,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,морковь столовая,2001,262.9,,,24.0,28.0,13.0,16.0,17.0,22.0,0.0,7.0,2.0,1.0,3.0,0.0,69.13,56.58,71.93,73.45,69.94,71.73,28.7,15.2,73.8,61.9,61.3,21.1,6.0,3.0,17.0,15.0,14.0,8.0,15.9,14.7,73.8,61.9,61.3,21.1,16.2,31.6,27.5,27.6,30.5,20.5,1.43,15.42,17.64,16.98,18.21,10.69,-14.0,-0.8,9.1,7.8,9.2,0.4,13.45,31.6,-14.0,262.0,248.7,68.76,13,120,63,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,морковь столовая,2002,266.0,,,23.0,21.0,14.0,19.0,20.0,17.0,0.0,2.0,0.0,1.0,5.0,0.0,69.63,55.03,74.93,75.26,69.71,69.57,23.0,36.1,111.8,69.0,36.0,54.2,7.0,10.0,16.0,12.0,11.0,13.0,12.7,35.7,111.8,69.0,36.0,54.1,14.0,28.1,25.6,30.7,33.5,24.0,-0.91,12.85,17.09,18.04,17.19,11.8,-17.8,-3.0,6.6,9.0,8.3,0.8,12.73,33.5,-17.8,330.1,319.3,68.98,8,114,69,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,морковь столовая,2003,284.1,,,22.0,27.0,22.0,23.0,25.0,20.0,0.0,0.0,6.0,6.0,0.0,1.0,75.07,60.23,62.1,64.55,64.65,67.5,27.2,19.4,38.6,37.6,22.5,62.4,8.0,4.0,8.0,8.0,6.0,10.0,12.4,19.4,38.6,37.6,22.5,57.1,19.5,25.7,29.2,31.0,26.6,28.2,0.62,13.11,20.22,18.72,18.15,11.64,-15.8,-4.3,10.3,6.6,8.9,0.4,13.79,31.0,-15.8,207.7,187.6,65.64,13,139,44,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,морковь столовая,2004,273.8,,,20.0,27.0,20.0,16.0,21.0,19.0,0.0,6.0,4.0,0.0,2.0,0.0,74.53,59.03,63.13,75.42,71.45,72.27,59.8,18.6,47.7,100.7,72.8,44.3,10.0,4.0,10.0,15.0,10.0,11.0,31.4,18.6,47.7,100.7,72.8,44.2,9.3,32.8,30.0,25.7,27.3,23.6,0.25,14.45,19.29,18.33,15.96,10.5,-9.4,-6.0,6.6,7.8,7.4,-2.4,13.18,32.8,-9.4,343.9,315.4,69.3,12,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,морковь столовая,2005,286.7,,,25.0,27.0,21.0,14.0,21.0,22.0,0.0,0.0,7.0,7.0,7.0,0.0,69.23,56.74,65.77,75.35,70.03,71.13,17.8,22.0,56.8,95.6,44.0,41.2,5.0,4.0,9.0,17.0,10.0,8.0,9.4,22.0,56.8,95.6,44.0,41.2,20.9,25.9,30.7,31.9,30.6,22.3,2.54,10.98,18.74,20.79,18.37,11.11,-12.0,-4.4,7.2,13.2,8.3,0.2,13.8,31.9,-12.0,277.4,269.0,68.03,21,130,53,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,огурцы,2000,168.8,,,23.0,18.0,22.0,22.0,18.0,20.0,0.0,0.0,4.0,3.0,2.0,0.0,69.07,67.81,67.83,66.74,72.35,68.9,36.6,82.5,58.3,55.7,72.0,41.6,7.0,13.0,8.0,9.0,13.0,10.0,27.6,69.3,58.3,55.7,72.0,40.3,20.3,24.5,28.1,31.4,30.5,25.4,2.98,10.95,17.85,18.29,17.74,10.69,-11.2,-7.3,8.9,10.5,8.0,-1.6,13.12,31.4,-11.2,346.7,323.2,68.79,9,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,огурцы,2001,182.2,,,24.0,28.0,13.0,16.0,17.0,22.0,0.0,7.0,2.0,1.0,3.0,0.0,69.13,56.58,71.93,73.45,69.94,71.73,28.7,15.2,73.8,61.9,61.3,21.1,6.0,3.0,17.0,15.0,14.0,8.0,15.9,14.7,73.8,61.9,61.3,21.1,16.2,31.6,27.5,27.6,30.5,20.5,1.43,15.42,17.64,16.98,18.21,10.69,-14.0,-0.8,9.1,7.8,9.2,0.4,13.45,31.6,-14.0,262.0,248.7,68.76,13,120,63,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,огурцы,2002,206.7,,,23.0,21.0,14.0,19.0,20.0,17.0,0.0,2.0,0.0,1.0,5.0,0.0,69.63,55.03,74.93,75.26,69.71,69.57,23.0,36.1,111.8,69.0,36.0,54.2,7.0,10.0,16.0,12.0,11.0,13.0,12.7,35.7,111.8,69.0,36.0,54.1,14.0,28.1,25.6,30.7,33.5,24.0,-0.91,12.85,17.09,18.04,17.19,11.8,-17.8,-3.0,6.6,9.0,8.3,0.8,12.73,33.5,-17.8,330.1,319.3,68.98,8,114,69,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,огурцы,2003,214.3,,,22.0,27.0,22.0,23.0,25.0,20.0,0.0,0.0,6.0,6.0,0.0,1.0,75.07,60.23,62.1,64.55,64.65,67.5,27.2,19.4,38.6,37.6,22.5,62.4,8.0,4.0,8.0,8.0,6.0,10.0,12.4,19.4,38.6,37.6,22.5,57.1,19.5,25.7,29.2,31.0,26.6,28.2,0.62,13.11,20.22,18.72,18.15,11.64,-15.8,-4.3,10.3,6.6,8.9,0.4,13.79,31.0,-15.8,207.7,187.6,65.64,13,139,44,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,огурцы,2004,248.9,,,20.0,27.0,20.0,16.0,21.0,19.0,0.0,6.0,4.0,0.0,2.0,0.0,74.53,59.03,63.13,75.42,71.45,72.27,59.8,18.6,47.7,100.7,72.8,44.3,10.0,4.0,10.0,15.0,10.0,11.0,31.4,18.6,47.7,100.7,72.8,44.2,9.3,32.8,30.0,25.7,27.3,23.6,0.25,14.45,19.29,18.33,15.96,10.5,-9.4,-6.0,6.6,7.8,7.4,-2.4,13.18,32.8,-9.4,343.9,315.4,69.3,12,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,огурцы,2005,284.1,,,25.0,27.0,21.0,14.0,21.0,22.0,0.0,0.0,7.0,7.0,7.0,0.0,69.23,56.74,65.77,75.35,70.03,71.13,17.8,22.0,56.8,95.6,44.0,41.2,5.0,4.0,9.0,17.0,10.0,8.0,9.4,22.0,56.8,95.6,44.0,41.2,20.9,25.9,30.7,31.9,30.6,22.3,2.54,10.98,18.74,20.79,18.37,11.11,-12.0,-4.4,7.2,13.2,8.3,0.2,13.8,31.9,-12.0,277.4,269.0,68.03,21,130,53,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,озимые зерновые культуры,2000,18.6,,,23.0,18.0,22.0,22.0,18.0,20.0,0.0,0.0,4.0,3.0,2.0,0.0,69.07,67.81,67.83,66.74,72.35,68.9,36.6,82.5,58.3,55.7,72.0,41.6,7.0,13.0,8.0,9.0,13.0,10.0,27.6,69.3,58.3,55.7,72.0,40.3,20.3,24.5,28.1,31.4,30.5,25.4,2.98,10.95,17.85,18.29,17.74,10.69,-11.2,-7.3,8.9,10.5,8.0,-1.6,13.12,31.4,-11.2,346.7,323.2,68.79,9,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,озимые зерновые культуры,2001,14.0,,,24.0,28.0,13.0,16.0,17.0,22.0,0.0,7.0,2.0,1.0,3.0,0.0,69.13,56.58,71.93,73.45,69.94,71.73,28.7,15.2,73.8,61.9,61.3,21.1,6.0,3.0,17.0,15.0,14.0,8.0,15.9,14.7,73.8,61.9,61.3,21.1,16.2,31.6,27.5,27.6,30.5,20.5,1.43,15.42,17.64,16.98,18.21,10.69,-14.0,-0.8,9.1,7.8,9.2,0.4,13.45,31.6,-14.0,262.0,248.7,68.76,13,120,63,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,озимые зерновые культуры,2002,16.3,,,23.0,21.0,14.0,19.0,20.0,17.0,0.0,2.0,0.0,1.0,5.0,0.0,69.63,55.03,74.93,75.26,69.71,69.57,23.0,36.1,111.8,69.0,36.0,54.2,7.0,10.0,16.0,12.0,11.0,13.0,12.7,35.7,111.8,69.0,36.0,54.1,14.0,28.1,25.6,30.7,33.5,24.0,-0.91,12.85,17.09,18.04,17.19,11.8,-17.8,-3.0,6.6,9.0,8.3,0.8,12.73,33.5,-17.8,330.1,319.3,68.98,8,114,69,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,озимые зерновые культуры,2003,14.4,,,22.0,27.0,22.0,23.0,25.0,20.0,0.0,0.0,6.0,6.0,0.0,1.0,75.07,60.23,62.1,64.55,64.65,67.5,27.2,19.4,38.6,37.6,22.5,62.4,8.0,4.0,8.0,8.0,6.0,10.0,12.4,19.4,38.6,37.6,22.5,57.1,19.5,25.7,29.2,31.0,26.6,28.2,0.62,13.11,20.22,18.72,18.15,11.64,-15.8,-4.3,10.3,6.6,8.9,0.4,13.79,31.0,-15.8,207.7,187.6,65.64,13,139,44,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,подсолнечник,2000,5.4,,,23.0,18.0,22.0,22.0,18.0,20.0,0.0,0.0,4.0,3.0,2.0,0.0,69.07,67.81,67.83,66.74,72.35,68.9,36.6,82.5,58.3,55.7,72.0,41.6,7.0,13.0,8.0,9.0,13.0,10.0,27.6,69.3,58.3,55.7,72.0,40.3,20.3,24.5,28.1,31.4,30.5,25.4,2.98,10.95,17.85,18.29,17.74,10.69,-11.2,-7.3,8.9,10.5,8.0,-1.6,13.12,31.4,-11.2,346.7,323.2,68.79,9,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,подсолнечник,2001,5.7,,,24.0,28.0,13.0,16.0,17.0,22.0,0.0,7.0,2.0,1.0,3.0,0.0,69.13,56.58,71.93,73.45,69.94,71.73,28.7,15.2,73.8,61.9,61.3,21.1,6.0,3.0,17.0,15.0,14.0,8.0,15.9,14.7,73.8,61.9,61.3,21.1,16.2,31.6,27.5,27.6,30.5,20.5,1.43,15.42,17.64,16.98,18.21,10.69,-14.0,-0.8,9.1,7.8,9.2,0.4,13.45,31.6,-14.0,262.0,248.7,68.76,13,120,63,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,подсолнечник,2002,5.2,,,23.0,21.0,14.0,19.0,20.0,17.0,0.0,2.0,0.0,1.0,5.0,0.0,69.63,55.03,74.93,75.26,69.71,69.57,23.0,36.1,111.8,69.0,36.0,54.2,7.0,10.0,16.0,12.0,11.0,13.0,12.7,35.7,111.8,69.0,36.0,54.1,14.0,28.1,25.6,30.7,33.5,24.0,-0.91,12.85,17.09,18.04,17.19,11.8,-17.8,-3.0,6.6,9.0,8.3,0.8,12.73,33.5,-17.8,330.1,319.3,68.98,8,114,69,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,подсолнечник,2003,5.3,,,22.0,27.0,22.0,23.0,25.0,20.0,0.0,0.0,6.0,6.0,0.0,1.0,75.07,60.23,62.1,64.55,64.65,67.5,27.2,19.4,38.6,37.6,22.5,62.4,8.0,4.0,8.0,8.0,6.0,10.0,12.4,19.4,38.6,37.6,22.5,57.1,19.5,25.7,29.2,31.0,26.6,28.2,0.62,13.11,20.22,18.72,18.15,11.64,-15.8,-4.3,10.3,6.6,8.9,0.4,13.79,31.0,-15.8,207.7,187.6,65.64,13,139,44,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,подсолнечник,2004,4.0,,,20.0,27.0,20.0,16.0,21.0,19.0,0.0,6.0,4.0,0.0,2.0,0.0,74.53,59.03,63.13,75.42,71.45,72.27,59.8,18.6,47.7,100.7,72.8,44.3,10.0,4.0,10.0,15.0,10.0,11.0,31.4,18.6,47.7,100.7,72.8,44.2,9.3,32.8,30.0,25.7,27.3,23.6,0.25,14.45,19.29,18.33,15.96,10.5,-9.4,-6.0,6.6,7.8,7.4,-2.4,13.18,32.8,-9.4,343.9,315.4,69.3,12,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,подсолнечник,2005,5.4,,,25.0,27.0,21.0,14.0,21.0,22.0,0.0,0.0,7.0,7.0,7.0,0.0,69.23,56.74,65.77,75.35,70.03,71.13,17.8,22.0,56.8,95.6,44.0,41.2,5.0,4.0,9.0,17.0,10.0,8.0,9.4,22.0,56.8,95.6,44.0,41.2,20.9,25.9,30.7,31.9,30.6,22.3,2.54,10.98,18.74,20.79,18.37,11.11,-12.0,-4.4,7.2,13.2,8.3,0.2,13.8,31.9,-12.0,277.4,269.0,68.03,21,130,53,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,помидоры,2000,152.5,,,23.0,18.0,22.0,22.0,18.0,20.0,0.0,0.0,4.0,3.0,2.0,0.0,69.07,67.81,67.83,66.74,72.35,68.9,36.6,82.5,58.3,55.7,72.0,41.6,7.0,13.0,8.0,9.0,13.0,10.0,27.6,69.3,58.3,55.7,72.0,40.3,20.3,24.5,28.1,31.4,30.5,25.4,2.98,10.95,17.85,18.29,17.74,10.69,-11.2,-7.3,8.9,10.5,8.0,-1.6,13.12,31.4,-11.2,346.7,323.2,68.79,9,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,помидоры,2001,159.8,,,24.0,28.0,13.0,16.0,17.0,22.0,0.0,7.0,2.0,1.0,3.0,0.0,69.13,56.58,71.93,73.45,69.94,71.73,28.7,15.2,73.8,61.9,61.3,21.1,6.0,3.0,17.0,15.0,14.0,8.0,15.9,14.7,73.8,61.9,61.3,21.1,16.2,31.6,27.5,27.6,30.5,20.5,1.43,15.42,17.64,16.98,18.21,10.69,-14.0,-0.8,9.1,7.8,9.2,0.4,13.45,31.6,-14.0,262.0,248.7,68.76,13,120,63,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,помидоры,2002,158.7,,,23.0,21.0,14.0,19.0,20.0,17.0,0.0,2.0,0.0,1.0,5.0,0.0,69.63,55.03,74.93,75.26,69.71,69.57,23.0,36.1,111.8,69.0,36.0,54.2,7.0,10.0,16.0,12.0,11.0,13.0,12.7,35.7,111.8,69.0,36.0,54.1,14.0,28.1,25.6,30.7,33.5,24.0,-0.91,12.85,17.09,18.04,17.19,11.8,-17.8,-3.0,6.6,9.0,8.3,0.8,12.73,33.5,-17.8,330.1,319.3,68.98,8,114,69,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,помидоры,2003,197.6,,,22.0,27.0,22.0,23.0,25.0,20.0,0.0,0.0,6.0,6.0,0.0,1.0,75.07,60.23,62.1,64.55,64.65,67.5,27.2,19.4,38.6,37.6,22.5,62.4,8.0,4.0,8.0,8.0,6.0,10.0,12.4,19.4,38.6,37.6,22.5,57.1,19.5,25.7,29.2,31.0,26.6,28.2,0.62,13.11,20.22,18.72,18.15,11.64,-15.8,-4.3,10.3,6.6,8.9,0.4,13.79,31.0,-15.8,207.7,187.6,65.64,13,139,44,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,помидоры,2004,204.0,,,20.0,27.0,20.0,16.0,21.0,19.0,0.0,6.0,4.0,0.0,2.0,0.0,74.53,59.03,63.13,75.42,71.45,72.27,59.8,18.6,47.7,100.7,72.8,44.3,10.0,4.0,10.0,15.0,10.0,11.0,31.4,18.6,47.7,100.7,72.8,44.2,9.3,32.8,30.0,25.7,27.3,23.6,0.25,14.45,19.29,18.33,15.96,10.5,-9.4,-6.0,6.6,7.8,7.4,-2.4,13.18,32.8,-9.4,343.9,315.4,69.3,12,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,помидоры,2005,214.9,,,25.0,27.0,21.0,14.0,21.0,22.0,0.0,0.0,7.0,7.0,7.0,0.0,69.23,56.74,65.77,75.35,70.03,71.13,17.8,22.0,56.8,95.6,44.0,41.2,5.0,4.0,9.0,17.0,10.0,8.0,9.4,22.0,56.8,95.6,44.0,41.2,20.9,25.9,30.7,31.9,30.6,22.3,2.54,10.98,18.74,20.79,18.37,11.11,-12.0,-4.4,7.2,13.2,8.3,0.2,13.8,31.9,-12.0,277.4,269.0,68.03,21,130,53,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,просо,2000,8.0,,,23.0,18.0,22.0,22.0,18.0,20.0,0.0,0.0,4.0,3.0,2.0,0.0,69.07,67.81,67.83,66.74,72.35,68.9,36.6,82.5,58.3,55.7,72.0,41.6,7.0,13.0,8.0,9.0,13.0,10.0,27.6,69.3,58.3,55.7,72.0,40.3,20.3,24.5,28.1,31.4,30.5,25.4,2.98,10.95,17.85,18.29,17.74,10.69,-11.2,-7.3,8.9,10.5,8.0,-1.6,13.12,31.4,-11.2,346.7,323.2,68.79,9,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,просо,2001,7.8,,,24.0,28.0,13.0,16.0,17.0,22.0,0.0,7.0,2.0,1.0,3.0,0.0,69.13,56.58,71.93,73.45,69.94,71.73,28.7,15.2,73.8,61.9,61.3,21.1,6.0,3.0,17.0,15.0,14.0,8.0,15.9,14.7,73.8,61.9,61.3,21.1,16.2,31.6,27.5,27.6,30.5,20.5,1.43,15.42,17.64,16.98,18.21,10.69,-14.0,-0.8,9.1,7.8,9.2,0.4,13.45,31.6,-14.0,262.0,248.7,68.76,13,120,63,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,просо,2002,6.3,,,23.0,21.0,14.0,19.0,20.0,17.0,0.0,2.0,0.0,1.0,5.0,0.0,69.63,55.03,74.93,75.26,69.71,69.57,23.0,36.1,111.8,69.0,36.0,54.2,7.0,10.0,16.0,12.0,11.0,13.0,12.7,35.7,111.8,69.0,36.0,54.1,14.0,28.1,25.6,30.7,33.5,24.0,-0.91,12.85,17.09,18.04,17.19,11.8,-17.8,-3.0,6.6,9.0,8.3,0.8,12.73,33.5,-17.8,330.1,319.3,68.98,8,114,69,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,просо,2003,10.7,,,22.0,27.0,22.0,23.0,25.0,20.0,0.0,0.0,6.0,6.0,0.0,1.0,75.07,60.23,62.1,64.55,64.65,67.5,27.2,19.4,38.6,37.6,22.5,62.4,8.0,4.0,8.0,8.0,6.0,10.0,12.4,19.4,38.6,37.6,22.5,57.1,19.5,25.7,29.2,31.0,26.6,28.2,0.62,13.11,20.22,18.72,18.15,11.64,-15.8,-4.3,10.3,6.6,8.9,0.4,13.79,31.0,-15.8,207.7,187.6,65.64,13,139,44,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,просо,2004,7.2,,,20.0,27.0,20.0,16.0,21.0,19.0,0.0,6.0,4.0,0.0,2.0,0.0,74.53,59.03,63.13,75.42,71.45,72.27,59.8,18.6,47.7,100.7,72.8,44.3,10.0,4.0,10.0,15.0,10.0,11.0,31.4,18.6,47.7,100.7,72.8,44.2,9.3,32.8,30.0,25.7,27.3,23.6,0.25,14.45,19.29,18.33,15.96,10.5,-9.4,-6.0,6.6,7.8,7.4,-2.4,13.18,32.8,-9.4,343.9,315.4,69.3,12,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,просо,2005,7.0,,,25.0,27.0,21.0,14.0,21.0,22.0,0.0,0.0,7.0,7.0,7.0,0.0,69.23,56.74,65.77,75.35,70.03,71.13,17.8,22.0,56.8,95.6,44.0,41.2,5.0,4.0,9.0,17.0,10.0,8.0,9.4,22.0,56.8,95.6,44.0,41.2,20.9,25.9,30.7,31.9,30.6,22.3,2.54,10.98,18.74,20.79,18.37,11.11,-12.0,-4.4,7.2,13.2,8.3,0.2,13.8,31.9,-12.0,277.4,269.0,68.03,21,130,53,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,пшеница озимая,2000,20.1,,,23.0,18.0,22.0,22.0,18.0,20.0,0.0,0.0,4.0,3.0,2.0,0.0,69.07,67.81,67.83,66.74,72.35,68.9,36.6,82.5,58.3,55.7,72.0,41.6,7.0,13.0,8.0,9.0,13.0,10.0,27.6,69.3,58.3,55.7,72.0,40.3,20.3,24.5,28.1,31.4,30.5,25.4,2.98,10.95,17.85,18.29,17.74,10.69,-11.2,-7.3,8.9,10.5,8.0,-1.6,13.12,31.4,-11.2,346.7,323.2,68.79,9,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,пшеница озимая,2001,17.4,,,24.0,28.0,13.0,16.0,17.0,22.0,0.0,7.0,2.0,1.0,3.0,0.0,69.13,56.58,71.93,73.45,69.94,71.73,28.7,15.2,73.8,61.9,61.3,21.1,6.0,3.0,17.0,15.0,14.0,8.0,15.9,14.7,73.8,61.9,61.3,21.1,16.2,31.6,27.5,27.6,30.5,20.5,1.43,15.42,17.64,16.98,18.21,10.69,-14.0,-0.8,9.1,7.8,9.2,0.4,13.45,31.6,-14.0,262.0,248.7,68.76,13,120,63,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,пшеница озимая,2002,24.5,,,23.0,21.0,14.0,19.0,20.0,17.0,0.0,2.0,0.0,1.0,5.0,0.0,69.63,55.03,74.93,75.26,69.71,69.57,23.0,36.1,111.8,69.0,36.0,54.2,7.0,10.0,16.0,12.0,11.0,13.0,12.7,35.7,111.8,69.0,36.0,54.1,14.0,28.1,25.6,30.7,33.5,24.0,-0.91,12.85,17.09,18.04,17.19,11.8,-17.8,-3.0,6.6,9.0,8.3,0.8,12.73,33.5,-17.8,330.1,319.3,68.98,8,114,69,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,пшеница озимая,2003,21.3,,,22.0,27.0,22.0,23.0,25.0,20.0,0.0,0.0,6.0,6.0,0.0,1.0,75.07,60.23,62.1,64.55,64.65,67.5,27.2,19.4,38.6,37.6,22.5,62.4,8.0,4.0,8.0,8.0,6.0,10.0,12.4,19.4,38.6,37.6,22.5,57.1,19.5,25.7,29.2,31.0,26.6,28.2,0.62,13.11,20.22,18.72,18.15,11.64,-15.8,-4.3,10.3,6.6,8.9,0.4,13.79,31.0,-15.8,207.7,187.6,65.64,13,139,44,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,пшеница озимая,2004,15.7,,,20.0,27.0,20.0,16.0,21.0,19.0,0.0,6.0,4.0,0.0,2.0,0.0,74.53,59.03,63.13,75.42,71.45,72.27,59.8,18.6,47.7,100.7,72.8,44.3,10.0,4.0,10.0,15.0,10.0,11.0,31.4,18.6,47.7,100.7,72.8,44.2,9.3,32.8,30.0,25.7,27.3,23.6,0.25,14.45,19.29,18.33,15.96,10.5,-9.4,-6.0,6.6,7.8,7.4,-2.4,13.18,32.8,-9.4,343.9,315.4,69.3,12,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,пшеница озимая,2005,19.9,,,25.0,27.0,21.0,14.0,21.0,22.0,0.0,0.0,7.0,7.0,7.0,0.0,69.23,56.74,65.77,75.35,70.03,71.13,17.8,22.0,56.8,95.6,44.0,41.2,5.0,4.0,9.0,17.0,10.0,8.0,9.4,22.0,56.8,95.6,44.0,41.2,20.9,25.9,30.7,31.9,30.6,22.3,2.54,10.98,18.74,20.79,18.37,11.11,-12.0,-4.4,7.2,13.2,8.3,0.2,13.8,31.9,-12.0,277.4,269.0,68.03,21,130,53,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,пшеница яровая,2000,14.5,,,23.0,18.0,22.0,22.0,18.0,20.0,0.0,0.0,4.0,3.0,2.0,0.0,69.07,67.81,67.83,66.74,72.35,68.9,36.6,82.5,58.3,55.7,72.0,41.6,7.0,13.0,8.0,9.0,13.0,10.0,27.6,69.3,58.3,55.7,72.0,40.3,20.3,24.5,28.1,31.4,30.5,25.4,2.98,10.95,17.85,18.29,17.74,10.69,-11.2,-7.3,8.9,10.5,8.0,-1.6,13.12,31.4,-11.2,346.7,323.2,68.79,9,123,60,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,пшеница яровая,2001,16.6,,,24.0,28.0,13.0,16.0,17.0,22.0,0.0,7.0,2.0,1.0,3.0,0.0,69.13,56.58,71.93,73.45,69.94,71.73,28.7,15.2,73.8,61.9,61.3,21.1,6.0,3.0,17.0,15.0,14.0,8.0,15.9,14.7,73.8,61.9,61.3,21.1,16.2,31.6,27.5,27.6,30.5,20.5,1.43,15.42,17.64,16.98,18.21,10.69,-14.0,-0.8,9.1,7.8,9.2,0.4,13.45,31.6,-14.0,262.0,248.7,68.76,13,120,63,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,пшеница яровая,2002,14.0,,,23.0,21.0,14.0,19.0,20.0,17.0,0.0,2.0,0.0,1.0,5.0,0.0,69.63,55.03,74.93,75.26,69.71,69.57,23.0,36.1,111.8,69.0,36.0,54.2,7.0,10.0,16.0,12.0,11.0,13.0,12.7,35.7,111.8,69.0,36.0,54.1,14.0,28.1,25.6,30.7,33.5,24.0,-0.91,12.85,17.09,18.04,17.19,11.8,-17.8,-3.0,6.6,9.0,8.3,0.8,12.73,33.5,-17.8,330.1,319.3,68.98,8,114,69,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,пшеница яровая,2003,13.6,,,22.0,27.0,22.0,23.0,25.0,20.0,0.0,0.0,6.0,6.0,0.0,1.0,75.07,60.23,62.1,64.55,64.65,67.5,27.2,19.4,38.6,37.6,22.5,62.4,8.0,4.0,8.0,8.0,6.0,10.0,12.4,19.4,38.6,37.6,22.5,57.1,19.5,25.7,29.2,31.0,26.6,28.2,0.62,13.11,20.22,18.72,18.15,11.64,-15.8,-4.3,10.3,6.6,8.9,0.4,13.79,31.0,-15.8,207.7,187.6,65.64,13,139,44,,,,,,,,,,,,,,,,
Западно-Сибирский экономический район,пшеница яровая,2004,13.6,,,20.0,27.0,20.0,16.0,21.0,19.0,0.0,6.0,4.0,0.0,2.0,0.0,74.53,59.03,63.13,75.42,71.45,72.27,59.8,18.6,47.7,100.7,72.8,44.3,10.0,4.0,10.0,15.0,10.0,11.0,31.4,18.6,47.7,100.7,72.8,44.2,9.3,32.8,30.0,25.7,27.3,23.6,0.25,14.45,19.29,18.33,15.96,10.5,-9.4,-6.0,6.6,7.8,7.4,-2.4,13.18,32.8,-9.4,343.9,315.4,69.3,12,123,60,,,,,,,,,,,,,,,,
